Description,TotalSalesDollars,ProfitMargin
Bota Mini Cab Svgn,6802.949999999887,36.27411637598271
Bota Mini Merlot,258.65999999999997,12.317327766179536
Bota Mini Moscato,593.9599999999999,17.312613644016423
Bota Mini RedVolution,614.63,25.14520931291997
Botani 13 Muscat Srra Malaga,4074.580000000001,62.47171487613448
Botromagno Gravina,89.88,30.97463284379172
Bouchard Aine & Fils Pnt Nr,7971.759999999943,3.679112266299392
Boundary Breaks Dry Rsl #239,721.6200000000001,12.862725534214704
Boundary Breaks OLN Rsl,6440.829999999952,15.11653001243568
Boundary Breaks Rsl Rsv #198,359.82000000000005,8.687677171919304
Bouvet Brut,2064.209999999998,32.93124246079607
Bouvier Marsannay Rose,545.79,62.64497334139504
Bouvier Morey St Denis Rue d,1812.63,98.1981981981982
Bouza Tannat Las Violetas,5664.989999999985,32.30085136955208
Bouza Temp Tannat,699.7200000000001,15.417595609672452
Bowman's Gin,144.67000000000002,19.706919195410254
Bowman's Light Vodka,618.88,75.84022750775596
